full_date,day_of_week,morning,afternoon,evening,full_day,,,,,,,,,,,,,,,,
Jan-18,Monday,827,2424,2260,8205,,,,,,,,,,,,,,,,
Jan-18,Tuesday,2282,3169,3491,13614,,,,,,,,,,,,,,,,
Jan-18,Wednesday,2664,3253,3745,15052,,,,,,,,,,,,,,,,
Jan-18,Thursday,2460,2997,3664,14166,,,,,,,,,,,,,,,,
Jan-18,Friday,40963,48230,51307,238903,,,,,,,,,,,,,,,,
Jan-18,Saturday,27090,43484,42680,192618,,,,,,,,,,,,,,,,
Jan-18,Sunday,18621,38819,37390,152981,,,,,,,,,,,,,,,,
Jan-18,Monday,43201,39505,43884,213852,,,,,,,,,,,,,,,,
Jan-18,Tuesday,45394,43938,49010,235303,,,,,,,,,,,,,,,,
Jan-18,Wednesday,45464,43721,48701,235458,,Sum of full_day,Column Labels,,,,,,,,,,,,,
Jan-18,Thursday,44196,46365,47247,238434,,Row Labels,(blank),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Grand Total
Jan-18,Friday,1526,1781,1298,7585,,<1/1/18,,,,,,,,,,,,,,
Jan-18,Saturday,665,2225,2122,7121,,2018,,1885302,7167487,10130514,1910913,17435756,19043871,16092317,15910064,6324264,8528899,5407843,3687525,113524755
Jan-18,Sunday,876,2672,2267,8399,,2019,,4331479,4492383,3418262,3630959,8485149,6619494,4288867,6550776,8151817,5996412,4374768,7911774,68252140
Jan-18,Monday,2402,3311,3534,14177,,2020,,22710695,14874983,3206065,72043861,29884033,21433806,12085429,3075479,4632833,6764659,7138060,6510669,204360572
Jan-18,Tuesday,1292,1559,1708,7158,,2021,,4995749,467002,616231,1784636,2031967,,1801705,9560165,7184268,6054553,7377153,8527946,50401375
Jan-18,Wednesday,1891,2437,2947,11063,,2022,,3744204,,,4399534,4897413,4333817,4923472,4662068,8705245,11657198,10402392,6070651,63795994
Jan-18,Thursday,2540,3127,3744,14527,,Grand Total,,37667429,27001855,17371072,83769903,62734318,51430988,39191790,39758552,34998427,39001721,34700216,32708565,500334836
Jan-18,Friday,2756,3526,4386,16870,,,,,,,,,,,,,,,,
