,record_type,state_code,f_system,station_id,travel_dir,travel_lane,year_record,month_record,day_record,day_of_week,hour_00,hour_01,hour_02,hour_03,hour_04,hour_05,hour_06,hour_07,hour_08,hour_09,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,restrictions
0,3,47,1R,36,3,1,20,12,3,5,21,15,23,39,105,147,176,195,197,228,213,223,202,249,248,245,226,188,135,101,89,68,44,38,0
1,3,47,1R,36,3,1,20,12,4,6,16,19,30,56,90,138,162,180,219,251,230,250,273,245,256,276,257,213,139,115,104,63,33,24,0
2,3,47,1R,36,3,1,20,12,5,7,27,20,21,19,44,81,106,134,170,251,248,244,227,228,249,249,230,217,173,130,100,106,58,60,0
3,3,47,1R,36,3,1,20,12,6,1,28,24,15,17,32,56,73,115,166,215,237,215,271,294,287,293,262,250,166,124,84,63,32,30,0
4,3,47,1R,36,3,1,20,12,7,2,20,18,25,52,98,144,182,163,198,201,189,201,202,165,193,181,167,126,102,92,56,37,29,22,0
5,3,47,1R,36,3,1,20,12,8,3,16,14,34,46,89,125,152,170,200,209,181,212,203,218,199,174,200,140,96,81,89,49,32,27,0
6,3,47,1R,36,3,1,20,12,9,4,26,20,18,45,92,135,173,190,215,233,215,215,188,221,217,205,204,148,117,100,79,46,30,32,0
7,3,47,1R,36,3,1,20,12,10,5,19,24,26,44,90,145,165,189,199,210,214,235,220,227,228,227,201,180,127,122,98,73,46,38,0
8,3,47,1R,36,3,1,20,12,11,6,21,27,23,57,95,137,175,159,242,247,243,233,282,254,312,277,274,221,186,146,100,75,51,34,0
9,3,47,1R,36,3,1,20,12,12,7,17,22,14,26,44,97,123,152,228,253,288,269,299,262,281,242,243,196,146,119,121,82,66,43,0
10,3,47,1R,36,3,1,20,12,13,1,35,20,16,9,25,51,73,118,165,218,261,284,271,288,265,312,266,222,162,131,111,67,45,28,0
11,3,47,1R,36,3,1,20,12,15,3,29,22,28,55,84,134,199,184,225,205,206,208,199,209,209,241,201,165,107,93,75,71,47,20,0
12,3,47,1R,36,3,1,20,12,16,4,30,16,19,36,79,108,126,142,166,191,177,183,166,218,199,166,171,131,96,79,63,45,30,26,0
13,3,47,1R,36,3,1,20,12,17,5,24,16,24,51,100,123,136,163,220,208,197,207,207,234,218,237,231,159,126,90,75,51,30,26,0
14,3,47,1R,36,3,1,20,12,18,6,18,17,39,41,91,136,172,213,222,251,246,278,281,278,264,291,283,230,180,143,98,70,59,27,0
15,3,47,1R,36,3,1,20,12,19,7,25,24,27,30,64,88,130,177,246,281,264,275,277,317,321,306,260,242,157,168,116,96,50,48,0
16,3,47,1R,36,3,1,20,12,20,1,23,19,14,23,35,50,80,112,178,271,274,267,277,308,306,306,250,234,169,154,86,73,55,38,0
17,3,47,1R,36,3,1,20,12,21,2,23,23,31,43,115,138,173,183,231,232,254,228,265,235,259,256,257,216,140,112,94,63,52,29,0
18,3,47,1R,36,3,1,20,12,22,3,29,9,26,48,100,137,175,194,232,238,256,250,237,231,245,235,229,200,147,121,106,72,53,32,0
19,3,47,1R,36,3,1,20,12,23,4,21,22,33,49,84,148,168,195,246,270,297,320,312,319,347,324,302,232,183,159,120,86,61,45,0
20,3,47,1R,36,3,2,20,12,2,4,0,2,2,0,27,22,37,45,48,47,40,53,53,75,60,68,59,35,21,18,15,9,7,6,0
21,3,47,1R,36,3,2,20,12,3,5,2,1,4,6,25,39,42,49,50,54,52,51,61,62,77,75,51,38,32,20,13,12,8,6,0
22,3,47,1R,36,3,2,20,12,4,6,5,0,7,6,24,35,36,42,54,69,71,64,84,73,48,114,94,56,29,25,23,4,3,2,0
23,3,47,1R,36,3,2,20,12,5,7,4,7,3,1,6,19,29,37,47,68,59,60,61,63,60,76,40,48,28,35,19,20,15,8,0
24,3,47,1R,36,3,2,20,12,6,1,7,4,4,3,10,7,7,14,31,44,75,60,81,81,86,91,78,55,49,35,18,14,8,5,0
25,3,47,1R,36,3,2,20,12,7,2,1,0,4,10,24,27,52,42,38,57,44,60,58,50,39,42,44,34,18,11,8,6,3,0,0
26,3,47,1R,36,3,2,20,12,8,3,1,5,4,5,18,41,45,50,40,44,47,54,50,50,46,54,58,38,25,22,15,7,7,0,0
27,3,47,1R,36,3,2,20,12,9,4,4,2,2,8,27,27,57,55,51,64,56,59,52,52,62,54,51,23,26,22,21,5,5,4,0
